Shipment Index,Shipment Number,Sales Invoice,Logs
126,X34007LTGF4,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
127,X34007LTQKQ,,
128,X34007LTSDF,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
129,X34007LTYJ8,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
130,X34007LVRGH,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
131,X34007LVWSZ,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
132,X34007LW7FK,,
133,X34007LXF7T,,
134,X34007LY9G8,,
135,X34007LZKXQ,,
136,X34007LZVKL,,
137,X34007LZZXJ,,
138,X34007TTXS9,,
139,X34007TWBVW,,
140,X34007TXVVW,,
141,X34007TXZHC,,
142,X34007TYMTS,,
143,X34007TYRBT,,
144,X34007TYRPB,,
145,X34007TZ4XG,,
146,X34007TZNJG,,
147,X34007V4HFB,,
148,X34007V4J3K,,
149,X34007V79MS,,
150,X34007V88ZZ,,
151,X34007V9LGV,,
152,X34007V9LTB,,
153,X34007V9WMZ,,
154,X34007VB4CG,,
155,X34007VBPJT,,
156,X34007VDFJQ,,
157,X34007VDP88,,
158,X34007VGBZ9,,
159,X34007VGZKQ,,
160,X34007VJW8Q,,
161,X34007VKYPG,,
162,X34007VLHMV,,
163,X34007VNJTG,,
164,X34007VNTM8,,
165,X34007VNW4H,,
166,X34007VPHLT,,
167,X34007VPRTF,,
168,X34007VSFFH,,
169,X34007VSLPV,,
170,X34007VTLYW,,
171,X34007VTRN7,,
172,X34007VV8XY,,
173,X34007VVDHT,,
174,X34007VVMTT,,
175,X34007VVWVG,,
176,X34007VWBWR,,
177,X34007VWC8P,,
178,X34W48FSY7P,,
179,X34W48FX8ZN,,
180,X34W48FYJJK,,
181,X34W48FZMB3,,
182,X34W48G8YFY,,
183,X34W48G9HQQ,,
184,X34W48GJHZV,,
185,X34W48GJXHL,,
186,X34W48GK89W,,
187,X34W48GKBMS,,
188,X34W48GLC9Z,,
189,X34W48GNTFT,,
190,X34W48GNXJG,,
191,X34W48GR8H3,,
192,X34W48GSDBR,,
193,X34W48GVWN8,,
